Date,Open,High,Low,Close,Adj Close,Volume
2020-03-13,512.960022,521.770020,478.320007,514.150024,514.150024,1253200000
2020-03-16,514.150024,514.150024,481.510010,483.070007,483.070007,678800000
2020-03-17,483.070007,483.070007,451.329987,452.130005,452.130005,764600000
2020-03-18,452.130005,456.549988,428.190002,434.489990,434.489990,912600000
2020-03-19,434.489990,434.489990,404.920013,406.510010,406.510010,486600000
2020-03-20,406.510010,437.209991,381.630005,431.170013,431.170013,1825800000
2020-03-23,431.170013,431.170013,402.339996,402.570007,402.570007,717700000
2020-03-24,402.570007,418.459991,390.170013,393.859985,393.859985,1376300000
2020-03-26,393.859985,450.250000,391.059998,444.320007,444.320007,2534800000
2020-03-27,444.320007,491.010010,444.320007,467.459991,467.459991,2329100000
2020-03-30,467.459991,467.459991,436.200012,449.850006,449.850006,772100000
2020-03-31,449.850006,480.529999,449.850006,476.390015,476.390015,1271400000
2020-04-01,476.390015,489.899994,463.260010,467.799988,467.799988,1208200000
2020-04-02,467.799988,482.420013,455.730011,482.420013,482.420013,1014200000
2020-04-03,482.420013,495.260010,482.420013,494.559998,494.559998,1303400000
2020-04-06,494.559998,516.530029,494.559998,516.530029,516.530029,1724500000
2020-04-07,516.530029,533.960022,504.820007,510.980011,510.980011,2034200000
2020-04-08,510.980011,511.209991,483.880005,490.890015,490.890015,1118300000
2020-04-09,490.890015,498.730011,479.859985,498.019989,498.019989,1252500000
2020-04-13,498.019989,501.500000,490.809998,495.790009,495.790009,820100000
2020-04-14,495.790009,508.279999,495.790009,508.279999,508.279999,1257100000
2020-04-15,508.279999,511.980011,493.660004,496.420013,496.420013,1371500000
2020-04-16,496.420013,496.450012,475.609985,476.299988,476.299988,1129300000
2020-04-17,476.299988,498.480011,476.299988,497.010010,497.010010,1275200000
2020-04-20,497.010010,500.910004,489.119995,489.119995,489.119995,928200000
2020-04-21,489.119995,489.359985,477.980011,481.260010,481.260010,915000000
2020-04-22,481.260010,502.160004,473.420013,497.510010,497.510010,1379400000
2020-04-23,497.510010,512.000000,497.510010,505.320007,505.320007,1293600000
2020-04-24,505.320007,509.510010,498.040009,498.040009,498.040009,1017600000
2020-04-27,498.040009,506.100006,497.730011,502.269989,502.269989,784600000
2020-04-28,502.269989,515.679993,502.109985,514.419983,514.419983,915300000
2020-04-29,514.419983,527.210022,512.700012,526.369995,526.369995,945500000
2020-04-30,526.369995,546.460022,526.369995,542.500000,542.500000,1551500000
